biomass_id	id	coefficient	coefficient_type	class	linked_compounds	compartment
neg	cpd00002_0	-0.262	MOLFRACTION	rna	cpd00012_0:-1	c
neg	cpd00038_0	-0.322	MOLFRACTION	rna	cpd00012_0:-1	c
neg	cpd00052_0	-0.2	MOLFRACTION	rna	cpd00012_0:-1	c
neg	cpd00062_0	-0.216	MOLFRACTION	rna	cpd00012_0:-1	c
neg	cpd00115_0	-1	AT	dna	cpd00012_0:-1	c
neg	cpd00241_0	-1	GC	dna	cpd00012_0:-1	c
neg	cpd00356_0	-1	GC	dna	cpd00012_0:-1	c
neg	cpd00357_0	-1	AT	dna	cpd00012_0:-1	c
neg	cpd00023_0	-0.0492	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00033_0	-0.1145	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00035_0	-0.0961	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00039_0	-0.0641	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00041_0	-0.0451	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00051_0	-0.0554	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00053_0	-0.0492	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00054_0	-0.0403	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00060_0	-0.0287	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00065_0	-0.0106	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00066_0	-0.0347	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00069_0	-0.0271	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00084_0	-0.0171	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00107_0	-0.0843	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00119_0	-0.0178	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00129_0	-0.0414	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00132_0	-0.0451	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00156_0	-0.0791	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00161_0	-0.0474	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00322_0	-0.0543	MOLFRACTION	protein	cpd00001_0:-1	c
neg	cpd00002_0	-1	MULTIPLIER	energy	cpd00001_0:1|cpd00008_0:-1|cpd00009_0:-1|cpd00067_0:-1	c
neg	cpd11416_0	1	EXACT	other	null	c
neg	cpd17041_0	-1	EXACT	other	null	c
neg	cpd17042_0	-1	EXACT	other	null	c
neg	cpd17043_0	-1	EXACT	other	null	c
neg	cpd00010_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd11493_0	-1	MOLSPLIT	cofactor	cpd12370_0:-1	c
neg	cpd00003_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00006_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00205_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00254_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd10516_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00063_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00009_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00099_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00149_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00058_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00015_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd10515_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00030_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00048_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00034_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00016_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00220_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00017_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00201_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00087_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00345_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00042_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00028_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00557_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00264_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00118_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00056_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd15560_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd15352_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd15500_0	-1	MOLSPLIT	cofactor	null	c
neg	cpd00166_0	-1	MOLSPLIT	cofactor	cpd01997_0:-1|cpd03422_0:-1	c
neg	cpd15793_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15794_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15795_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15722_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15723_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15540_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15533_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15695_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15696_0	-1	MOLSPLIT	lipid	null	c
neg	cpd15432_0	-1	MOLSPLIT	cellwall	null	c
neg	cpd02229_0	-1	MOLSPLIT	cellwall	null	c
neg	cpd15665_0	-1	MOLSPLIT	cellwall	cpd15666_0:-1	c
