id	name	source	features	aliases
ftr00001	SSU ribosomal protein S14e (S11p)	ModelSEED	null	ModelSEED:msfr.1
ftr00002	Treacle protein	ModelSEED	null	ModelSEED:msfr.2
ftr00003	H-2 class II histocompatibility antigen, gamma chain	ModelSEED	null	ModelSEED:msfr.3
ftr00004	N-acetylgalactosamine 6-sulfate sulfatase (GALNS)	ModelSEED	null	ModelSEED:msfr.4
ftr00005	Arylsulfatase B precursor (EC 3.1.6.12)	ModelSEED	null	ModelSEED:msfr.5
ftr00006	Cirhin	ModelSEED	null	ModelSEED:msfr.6
ftr00007	Hyaluronan synthase 2 (EC 2.4.1.212)	ModelSEED	null	ModelSEED:msfr.7
ftr00008	Hyaluronan synthase 3 (EC 2.4.1.212)	ModelSEED	null	ModelSEED:msfr.8
ftr00009	Collagen alpha 1(I) chain precursor	ModelSEED	null	ModelSEED:msfr.9
ftr00010	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	ModelSEED	null	ModelSEED:msfr.10
ftr00011	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (EC 1.10.2.2)	ModelSEED	null	ModelSEED:msfr.11
ftr00012	NADH dehydrogenase subunit 5	ModelSEED	null	ModelSEED:msfr.12
ftr00013	Ribosomal protein S6 kinase alpha 5 (EC 2.7.11.1)	ModelSEED	null	ModelSEED:msfr.13
ftr00014	Nanos protein	ModelSEED	null	ModelSEED:msfr.14
ftr00015	60S ribosome subunit biogenesis protein NIP7	ModelSEED	null	ModelSEED:msfr.15
ftr00016	Growth-arrest-specific protein 8	ModelSEED	null	ModelSEED:msfr.16
ftr00017	Cadherin-4 precursor	ModelSEED	null	ModelSEED:msfr.17
ftr00018	Conserved oligomeric Golgi complex component 8	ModelSEED	null	ModelSEED:msfr.18
ftr00019	Hyaluronan mediated motility receptor	ModelSEED	null	ModelSEED:msfr.19
ftr00020	NudC domain containing protein 2	ModelSEED	null	ModelSEED:msfr.20
ftr00021	Cyclin G1	ModelSEED	null	ModelSEED:msfr.21
ftr00023	p53 inducible protein	ModelSEED	null	ModelSEED:msfr.23
ftr00024	Tyrosine-protein kinase BTK (EC 2.7.10.2)	ModelSEED	null	ModelSEED:msfr.24
ftr00025	Non-imprinted in Prader-Willi/Angelman syndrome 2	ModelSEED	null	ModelSEED:msfr.25
ftr00026	Non-imprinted in Prader-Willi/Angelman syndrome region protein 2 homolog	ModelSEED	null	ModelSEED:msfr.26
ftr00027	Non-imprinted in Prader-Willi/Angelman syndrome 1	ModelSEED	null	ModelSEED:msfr.27
ftr00028	cell division cycle 37 homolog (S. cerevisiae)	ModelSEED	null	ModelSEED:msfr.28
ftr00029	Tyrosine-protein kinase JAK2 (EC 2.7.10.2)	ModelSEED	null	ModelSEED:msfr.29
ftr00030	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.17)	ModelSEED	null	ModelSEED:msfr.30
ftr00031	P32 subunit of splicing factor SF2	ModelSEED	null	ModelSEED:msfr.31
ftr00032	Complement component 1, Q subcomponent binding protein, mitochondrial precursor	ModelSEED	null	ModelSEED:msfr.32
ftr00033	Nuclear pore complex protein Nup88	ModelSEED	null	ModelSEED:msfr.33
ftr00034	RNA helicase, putative	ModelSEED	null	ModelSEED:msfr.34
ftr00035	RAP interaction protein alpha	ModelSEED	null	ModelSEED:msfr.35
ftr00036	D-allose kinase (EC 2.7.1.55)	ModelSEED	null	ModelSEED:msfr.36
ftr00037	D-allose-6-phosphate isomerase (EC 5.3.1.-)	ModelSEED	null	ModelSEED:msfr.37
ftr00038	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 1016	ModelSEED	null	ModelSEED:msfr.38
ftr00039	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 846	ModelSEED	null	ModelSEED:msfr.39
ftr00040	D-allose ABC transporter, substrate-binding component	ModelSEED	null	ModelSEED:msfr.40
ftr00041	D-allose ABC transporter, ATPase component	ModelSEED	null	ModelSEED:msfr.41
ftr00042	D-allose ABC transporter, permease component	ModelSEED	null	ModelSEED:msfr.42
ftr00043	PTS system, D-allose-specific IIB component (EC 2.7.1.69)	ModelSEED	null	ModelSEED:msfr.43
ftr00044	PTS system, D-allose-specific IIC component (EC 2.7.1.69)	ModelSEED	null	ModelSEED:msfr.44
ftr00045	PTS system, D-allose-specific IIA component (EC 2.7.1.69)	ModelSEED	null	ModelSEED:msfr.45
ftr00046	Transcriptional regulator of D-allose utilization, RpiR family	ModelSEED	null	ModelSEED:msfr.46
ftr00047	Transcriptional regulator of D-allose utilization, LacI family	ModelSEED	null	ModelSEED:msfr.47
ftr00048	Uncharacterized protein YqeC	ModelSEED	null	ModelSEED:msfr.48
ftr00049	Uncharacterized protein YqeB	ModelSEED	null	ModelSEED:msfr.49
ftr00050	SsnA protein	ModelSEED	null	ModelSEED:msfr.50
ftr00052	Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	ModelSEED	null	ModelSEED:msfr.52
ftr00053	Pyridine nucleotide-disulphide oxidoreductase domain protein	ModelSEED	null	ModelSEED:msfr.53
ftr00054	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	ModelSEED	null	ModelSEED:msfr.54
ftr00055	Pyridine nucleotide-disulphide oxidoreductase family protein associated with PFOR	ModelSEED	null	ModelSEED:msfr.55
ftr00056	Diaminopropionate ammonia-lyase (EC 4.3.1.15)	ModelSEED	null	ModelSEED:msfr.56
ftr00057	N-acyl-L-homoserine lactone synthetase RhlL	ModelSEED	null	ModelSEED:msfr.57
ftr00058	Transcriptional regulator RhlR	ModelSEED	null	ModelSEED:msfr.58
ftr00059	RhlA, 3-(3-hydroxyalkanoyloxy)alkanoic acids (HAAs) synthase	ModelSEED	null	ModelSEED:msfr.59
ftr00060	RhlB, TDP-rhamnosyltransferase 1 (EC 2.4.1.-)	ModelSEED	null	ModelSEED:msfr.60
ftr00061	RhlC, TDP-rhamnosyltransferase 2 (EC 2.4.1.-)	ModelSEED	null	ModelSEED:msfr.61
ftr00062	Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase RhlG (EC 1.1.1.100)	ModelSEED	null	ModelSEED:msfr.62
ftr00063	(R)-3-hydroxydecanoyl-ACP:CoA transacylase PhaG (3-hydroxyacyl-CoA-acyl carrier protein transferase) (EC 2.4.1.-)	ModelSEED	null	ModelSEED:msfr.63
ftr00064	dTDP-rhamnosyl transferase RfbF (EC 2.-.-.-)	ModelSEED	null	ModelSEED:msfr.64
ftr00066	Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	ModelSEED	null	ModelSEED:msfr.66
ftr00067	Deoxyribodipyrimidine photolyase, type II (EC 4.1.99.3)	ModelSEED	null	ModelSEED:msfr.67
ftr00068	Di-/tripeptide transporter	ModelSEED	null	ModelSEED:msfr.68
ftr00069	FIG137478: Hypothetical protein	ModelSEED	null	ModelSEED:msfr.69
ftr00070	Allophanate hydrolase subunit 2 (EC 3.5.1.54)	ModelSEED	null	ModelSEED:msfr.70
ftr00071	Allophanate hydrolase subunit 1 (EC 3.5.1.54)	ModelSEED	null	ModelSEED:msfr.71
ftr00072	Lactam utilization protein LAMB	ModelSEED	null	ModelSEED:msfr.72
ftr00073	Endonuclease VIII	ModelSEED	null	ModelSEED:msfr.73
ftr00074	Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)	ModelSEED	null	ModelSEED:msfr.74
ftr00075	Poly-gamma-glutamate synthase subunit PgsB/CapB (EC 6.3.2.-)	ModelSEED	null	ModelSEED:msfr.75
ftr00076	Poly-gamma-glutamate synthase subunit PgsC/CapC (EC 6.3.2.-)	ModelSEED	null	ModelSEED:msfr.76
ftr00077	Poly-gamma-glutamate synthase subunit PgsE/CapE (EC 6.3.2.-)	ModelSEED	null	ModelSEED:msfr.77
ftr00078	Gamma-DL-glutamyl hydrolase PgsS (EC 3.4.19.-), catalyzes PGA release	ModelSEED	null	ModelSEED:msfr.78
ftr00079	Gamma-glutamyltranspeptidase PgsD/CapD (EC 2.3.2.2), catalyses PGA anchorage to peptidoglycan	ModelSEED	null	ModelSEED:msfr.79
ftr00080	Gamma-glutamyltranspeptidase (EC 2.3.2.2)	ModelSEED	null	ModelSEED:msfr.80
ftr00081	Hypothetical protein in predicted poly-gamma-glutamate synthase operon	ModelSEED	null	ModelSEED:msfr.81
ftr00082	Major facilitator superfamily (MFS) transporter in predicted poly-gamma-glutamate synthase operon	ModelSEED	null	ModelSEED:msfr.82
ftr00083	Glutamate racemase (EC 5.1.1.3)	ModelSEED	null	ModelSEED:msfr.83
ftr00084	transcriptional activator AtxA, (pXO1-119)	ModelSEED	null	ModelSEED:msfr.84
ftr00085	Capsule synthesis positive regulator AcpA	ModelSEED	null	ModelSEED:msfr.85
ftr00086	Capsule synthesis positive regulator AcpB	ModelSEED	null	ModelSEED:msfr.86
ftr00087	Transition state regulatory protein AbrB	ModelSEED	null	ModelSEED:msfr.87
ftr00088	Putative transition state regulator Abh	ModelSEED	null	ModelSEED:msfr.88
ftr00089	Alanyl-tRNA synthetase (EC 6.1.1.7)	ModelSEED	null	ModelSEED:msfr.89
ftr00090	COG1559 protein YceG like	ModelSEED	null	ModelSEED:msfr.90
ftr00091	Putative Holliday junction resolvase YggF	ModelSEED	null	ModelSEED:msfr.91
ftr00092	Shikimate 5-dehydrogenase (EC 1.1.1.25)	ModelSEED	null	ModelSEED:msfr.92
ftr00093	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	ModelSEED	null	ModelSEED:msfr.93
ftr00095	Quinate/shikimate 5-dehydrogenase I delta (EC 1.1.1.25)	ModelSEED	null	ModelSEED:msfr.95
ftr00096	proteasome subunit alpha1 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.96
ftr00097	proteasome subunit alpha2 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.97
ftr00098	proteasome subunit alpha3 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.98
ftr00099	proteasome subunit alpha4 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.99
ftr00100	proteasome subunit alpha5 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.100
ftr00101	proteasome subunit alpha6 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.101
ftr00102	proteasome subunit alpha7 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.102
ftr00103	proteasome subunit beta1 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.103
ftr00104	proteasome subunit beta9 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.104
ftr00105	proteasome subunit beta11 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.105
ftr00106	proteasome subunit beta2 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.106
ftr00107	proteasome subunit beta10 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.107
ftr00108	proteasome subunit beta3 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.108
ftr00109	proteasome subunit beta4 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.109
ftr00110	proteasome subunit beta5 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.110
ftr00111	proteasome subunit beta5b (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.111
ftr00112	proteasome subunit beta8 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.112
ftr00113	proteasome subunit beta6 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.113
ftr00114	proteasome subunit beta7 (EC 3.4.25.1)	ModelSEED	null	ModelSEED:msfr.114
ftr00115	proteasome regulatory subunit Rpt1	ModelSEED	null	ModelSEED:msfr.115
ftr00116	proteasome regulatory subunit Rpt2	ModelSEED	null	ModelSEED:msfr.116
ftr00117	proteasome regulatory subunit Rpt3	ModelSEED	null	ModelSEED:msfr.117
ftr00118	proteasome regulatory subunit Rpt4	ModelSEED	null	ModelSEED:msfr.118
ftr00119	proteasome regulatory subunit Rpt5	ModelSEED	null	ModelSEED:msfr.119
ftr00120	proteasome regulatory subunit Rpt6	ModelSEED	null	ModelSEED:msfr.120
ftr00121	proteasome regulatory subunit Rpn1	ModelSEED	null	ModelSEED:msfr.121
ftr00122	proteasome regulatory subunit Rpn2	ModelSEED	null	ModelSEED:msfr.122
ftr00123	proteasome regulatory subunit Rpn3	ModelSEED	null	ModelSEED:msfr.123
ftr00124	proteasome regulatory subunit Rpn4	ModelSEED	null	ModelSEED:msfr.124
ftr00125	proteasome regulatory subunit Rpn5	ModelSEED	null	ModelSEED:msfr.125
ftr00126	proteasome regulatory subunit Rpn6	ModelSEED	null	ModelSEED:msfr.126
ftr00127	proteasome regulatory subunit Rpn7	ModelSEED	null	ModelSEED:msfr.127
ftr00128	proteasome regulatory subunit Rpn8	ModelSEED	null	ModelSEED:msfr.128
ftr00129	proteasome regulatory subunit Rpn9	ModelSEED	null	ModelSEED:msfr.129
ftr00130	proteasome regulatory subunit Rpn10	ModelSEED	null	ModelSEED:msfr.130
ftr00131	proteasome regulatory subunit Rpn11	ModelSEED	null	ModelSEED:msfr.131
ftr00132	proteasome regulatory subunit Rpn12	ModelSEED	null	ModelSEED:msfr.132
ftr00133	proteasome regulatory subunit Rpn13	ModelSEED	null	ModelSEED:msfr.133
ftr00134	proteasome regulatory subunit S5b	ModelSEED	null	ModelSEED:msfr.134
ftr00135	proteasome regulatory subunit p28	ModelSEED	null	ModelSEED:msfr.135
ftr00136	proteasome regulatory subunit p29	ModelSEED	null	ModelSEED:msfr.136
ftr00137	GatB protein	ModelSEED	null	ModelSEED:msfr.137
ftr00138	DNA primase (EC 2.7.7.-)	ModelSEED	null	ModelSEED:msfr.138
ftr00139	RNA polymerase sigma factor RpoD	ModelSEED	null	ModelSEED:msfr.139
ftr00140	SSU ribosomal protein S21p	ModelSEED	null	ModelSEED:msfr.140
ftr00141	FIG134348: essential endopeptidase	ModelSEED	null	ModelSEED:msfr.141
ftr00142	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	ModelSEED	null	ModelSEED:msfr.142
ftr00143	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	ModelSEED	null	ModelSEED:msfr.143
ftr00144	Acyl dehydratase	ModelSEED	null	ModelSEED:msfr.144
ftr00145	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	ModelSEED	null	ModelSEED:msfr.145
ftr00146	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	ModelSEED	null	ModelSEED:msfr.146
ftr00147	hypothetical protein that often co-occurs with aconitase	ModelSEED	null	ModelSEED:msfr.147
ftr00148	Aconitate hydratase (EC 4.2.1.3)	ModelSEED	null	ModelSEED:msfr.148
ftr00149	Aconitate hydratase 2 (EC 4.2.1.3)	ModelSEED	null	ModelSEED:msfr.149
ftr00150	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	ModelSEED	null	ModelSEED:msfr.150
ftr00151	Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	ModelSEED	null	ModelSEED:msfr.151
ftr00152	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	ModelSEED	null	ModelSEED:msfr.152
ftr00153	Citrate synthase (si) (EC 2.3.3.1)	ModelSEED	null	ModelSEED:msfr.153
ftr00154	ATP-citrate (pro-S-) -lyase (EC 2.3.3.8)	ModelSEED	null	ModelSEED:msfr.154
ftr00155	Citrate lyase, subunit 1 (EC 2.3.3.8)	ModelSEED	null	ModelSEED:msfr.155
